Text,Category
"I'm interested in upgrading my internet plan. Can you provide me with some options?",Sales
"I'm having trouble with my internet connection. It keeps dropping out.",Service
"What are your internet speeds like? I'm considering switching providers.",General
"I want to know more about your internet packages. Can you send me some information?",Sales
"My internet bill seems higher than usual this month. Can you help me understand why?",Service
"I'm moving to a new apartment next month and need to set up internet service. Can you assist me with that?",Sales
"I'm experiencing slow speeds with my current internet plan. Is there anything I can do to improve it?",Service
"What are your customer service hours? I need help with a billing issue.",Service
"I'm interested in upgrading my internet plan. Can you provide me with some options?",Sales
"My internet is down again. This is the third time this week. Can you please fix it?",Service
"Do you offer any discounts for bundled services like internet and cable TV?",Sales
"I'm moving to a new city next month. Can I transfer my internet service to the new address?",Service
"I'm having trouble setting up my router. Can you provide assistance?",Service
"I'm not satisfied with my current internet provider. What makes Brightspeed stand out from the competition?",General
"I need to cancel my internet service. How can I go about doing that?",Service
"I'm experiencing frequent outages with my internet connection. Is there a problem with the network?",Service
"I'm considering switching to Brightspeed for internet service. Can you tell me about your plans?",Sales
"I'm having trouble accessing certain websites. Is there an issue with the DNS server?",Service
"I'm interested in signing up for internet service with Brightspeed. Can you walk me through the process?",Sales
"I'm moving to a new apartment next week. How soon can I get internet set up?",Sales
"My internet bill seems higher than usual this month. Can you help me understand why?",Service
"I'm having trouble with slow internet speeds. Can you check if there's an issue with my connection?",Service
"I'm thinking about upgrading to a faster internet plan. Can you tell me about the pricing?",Sales
"I'm experiencing intermittent internet outages. Is there maintenance happening in my area?",Service
"I'm interested in adding a home phone line to my internet plan. Do you offer that service?",Sales
"My internet connection keeps dropping during online meetings. Can you help me troubleshoot?",Service
"I'm moving out of my current apartment. How can I transfer my internet service to my new address?",Service
"I'm experiencing issues with my Wi-Fi signal strength. Can you suggest any solutions?",Service
"I'm considering switching my internet service to Brightspeed. Can you tell me about your customer service?",General
"I'm having trouble streaming videos on multiple devices simultaneously. Is there a bandwidth issue?",Service
"I'm interested in upgrading to fiber optic internet. Do you offer that service?",Sales
"My internet is slower than usual today. Are there any network issues in my area?",Service
"I'm experiencing latency issues while gaming online. Can you help optimize my connection?",Service
"I'm moving to a rural area. Do you provide internet service there?",Sales
"I'm having trouble with my internet connection dropping randomly. Can you check for any issues?",Service
"I'm interested in getting internet service for my business. Can you provide information on business plans?",Sales
"I'm having trouble accessing my email. Is there a problem with the mail server?",Service
"I'm interested in setting up automatic bill pay for my internet service. Can you help me with that?",Sales
"I'm experiencing slow download speeds. Can you check if there's congestion on the network?",Service
"I'm considering upgrading my router for better performance. Can you recommend any models?",Service
"I'm moving to a new neighborhood. Can you check if Brightspeed provides service there?",Sales
"I'm having trouble with my internet speed dropping during peak hours. Can you investigate?",Service
"I'm interested in adding home security monitoring to my internet plan. Do you offer that service?",Sales
"I'm experiencing frequent disconnections from online gaming servers. Is there a network issue?",Service
"I'm considering switching to Brightspeed for internet service. Can you tell me about your coverage area?",Sales
"I'm having trouble with my internet connection dropping every few minutes. Can you help fix it?",Service
"I'm interested in setting up parental controls on my internet. Can you assist with that?",Sales
"I'm experiencing high latency when accessing websites. Can you check if there's a problem?",Service
"I'm considering upgrading my internet plan to include faster upload speeds. Can you advise?",Sales
"I'm having trouble with my internet connection being unstable. Can you diagnose the issue?",Service
